,disease,microbe,increased
131,10506,14120,1
132,3127,29241,1
133,43621,35142,1
134,43621,45273,1
135,12403,52077,1
136,10506,6651,1
137,64642,19319,1
138,33293,1773,1
139,43621,50234,1
140,43621,26995,1
141,43621,4986,1
142,654,14120,1
143,43621,19319,1
144,54370,14120,1
145,7877,13682,1
146,11153,30970,1
147,43621,19630,1
148,13213,51508,1
149,200,41953,1
150,43621,51508,1
151,43621,21490,1
152,33293,16122,1
153,43621,23544,1
154,12403,1773,1
155,12403,23314,1
156,43621,51493,1
157,48777,6056,1
158,33293,18341,1
159,43621,19514,1
160,43621,13682,1
161,43621,35937,1
162,43621,10691,1
163,50863,61711,1
164,50436,45697,1
165,33293,61711,1
166,43372,22850,1
167,43621,62073,1
168,654,12374,1
169,12403,18341,1
170,43621,35905,1
171,33293,7093,1
172,33293,431,1
173,43621,45317,1
174,43621,25376,1
175,43621,19860,1
176,50863,35986,1
177,654,29598,1
178,43621,16707,1
179,33293,4251,1
180,50863,32087,1
181,43621,12808,1
182,33293,32635,1
183,43621,23039,1
184,12403,46062,1
185,50436,59489,1
186,7877,7093,1
187,43621,32170,1
188,43621,6454,1
189,13213,14120,1
190,59444,54894,1
191,43621,50024,1
192,12403,46268,1
193,43621,40800,1
194,33293,19744,1
195,43621,63471,1
196,43621,20358,1
197,33293,41105,1
198,66623,54235,1
199,43621,25020,1
200,43621,57903,1
201,12403,26183,1
202,30861,59219,1
203,43621,5344,1
204,13213,878,1
205,55164,52770,1
206,63129,29241,1
207,44991,38632,1
208,43621,878,1
209,43621,53233,1
210,20066,54098,1
211,50436,13641,1
212,50863,50698,1
213,11153,13682,1
214,12403,61523,1
215,45301,37477,1
216,33293,46252,1
217,43621,22484,1
218,33293,32087,1
219,43621,46117,1
220,43621,59776,1
221,7877,16122,1
222,33293,10565,1
223,33293,65819,1
224,40873,52770,1
225,54370,7093,1
226,33293,41916,1
227,64149,926,1
228,12403,28933,1
229,33293,3669,1
230,43621,34758,1
231,10506,15014,1
232,12403,9788,1
233,48777,431,1
234,43621,37400,1
235,43621,1049,1
236,28016,35590,1
237,12403,35575,1
238,43621,60261,1
239,11153,61711,1
240,43621,59584,1
241,43621,53920,1
242,54370,45746,1
243,43621,57221,1
244,33293,54894,1
245,66282,13682,1
246,43621,6745,1
247,43621,7051,1
248,66623,12541,1
249,30861,35015,1
250,33293,9788,1
251,43621,42610,1
252,43621,33790,1
253,33293,35905,1
254,43621,43707,1
255,1667,29241,1
256,43621,26788,1
257,48777,13682,1
258,50863,24627,1
259,33293,57545,1
260,43621,4589,1
261,12403,431,1
262,33293,13641,1
263,50863,41608,1
264,43621,31584,1
265,43621,23823,1
266,12403,54894,1
267,48777,61711,1
268,43621,19744,1
269,10506,13682,1
270,50436,34740,1
271,43621,38545,1
272,31069,45720,1
273,43621,25341,1
274,48777,6432,1
275,50863,1743,1
276,43621,61681,1
277,43621,1823,1
278,66623,4193,1
279,33293,53038,1
280,43621,46716,1
281,33293,29807,1
282,50863,42577,1
283,50863,34048,1
284,50863,34610,1
285,43621,57696,1
286,12403,24065,1
287,33293,53186,1
288,66623,35905,1
289,50436,16122,1
290,9724,31268,1
291,43621,16341,1
292,43621,10873,1
293,66623,10559,1
294,50863,54199,1
295,12403,25018,1
296,7877,5718,1
297,43621,56416,1
298,12403,23832,1
299,43621,8113,1
300,66623,6056,1
301,44112,47235,1
302,12403,11907,1
303,54370,58642,1
304,43621,50698,1
305,12403,40449,1
306,43621,25943,1
307,20066,32606,1
308,43621,29807,1
309,43621,5135,1
310,50436,38632,1
311,50436,60987,1
312,33293,52416,1
313,11153,431,1
314,43621,40740,1
315,50863,48672,1
316,33293,1743,1
317,11153,48011,1
318,13213,13682,1
319,40873,29241,1
320,40873,7427,1
321,50863,48031,1
322,31069,32506,1
323,43621,20627,1
324,50863,35905,1
325,12403,5344,1
326,43621,8488,1
327,50863,27335,1
328,61336,54894,1
329,654,15670,1
330,66282,31268,1
331,9724,32606,1
332,34347,32254,1
333,43621,63804,1
334,50863,10565,1
335,43621,64598,1
336,7877,14120,1
337,11153,7246,1
338,33293,28601,1
339,12403,878,1
340,33293,60583,1
341,654,35590,1
342,66623,52770,1
343,43621,65679,1
344,12403,58532,1
345,20066,13641,1
346,43621,35933,1
347,654,7093,1
348,43621,59432,1
349,12403,30566,1
350,43621,55403,1
351,44112,15014,1
352,12403,29322,1
353,7877,35905,1
354,43621,7093,1
355,12403,65813,1
356,43621,47287,1
357,43621,58532,1
358,43621,56353,1
359,43621,15547,1
360,43621,57545,1
361,13213,29807,1
362,33293,15014,1
363,43621,54894,1
364,654,54932,1
365,43621,5846,1
366,43621,28944,1
367,43621,12991,1
368,50863,60601,1
369,59444,61711,1
370,654,13682,1
371,654,51285,1
372,33293,15547,1
373,33293,33201,1
374,33293,48368,1
375,43621,57280,1
376,12403,54932,1
377,22068,37477,1
378,44112,25176,1
379,44112,29281,1
380,43621,35941,1
381,33293,11709,1
382,43621,53186,1
383,66623,9670,1
384,43621,12583,1
385,654,30970,1
386,50436,8488,1
387,43621,20492,1
388,43621,15268,1
389,33293,5718,1
390,43621,23739,1
391,50863,179,1
392,54370,51153,1
393,54370,52770,1
394,33293,56575,1
395,64642,29598,1
396,50436,14120,1
397,43621,32506,1
398,43621,7507,1
399,50436,57582,1
400,33293,49054,1
401,12403,3530,1
402,25026,61711,1
403,12403,13682,1
404,43621,64132,1
405,64642,54932,1
406,50436,54932,1
407,10506,25737,1
408,4928,37477,1
409,66282,58532,1
410,59444,49054,1
411,43621,13641,1
412,43621,6245,1
413,43621,2097,1
414,12403,7093,1
415,12403,64571,1
416,43621,27202,1
417,654,12808,1
418,43621,18028,1
419,13565,29322,1
420,33293,11601,1
421,43621,20153,1
422,66623,7427,1
423,43621,12223,1
424,43621,431,1
425,10506,31268,1
426,33293,20754,1
427,43621,33867,1
428,43621,18423,1
429,33293,10276,1
430,20066,59776,1
431,50863,15528,1
432,12403,11709,1
433,43621,64304,1
434,11153,11010,1
435,43621,34574,1
436,43621,63715,1
437,10506,30970,1
438,43621,35590,1
439,43621,56808,1
440,43621,25460,1
441,43621,31268,1
442,43621,49054,1
443,43621,32642,1
444,37496,37477,1
445,33293,46062,1
446,43621,63336,1
447,43621,32044,1
448,43621,26183,1
449,66623,45697,0
450,45301,15528,0
451,7877,65813,0
452,48777,45317,0
453,13565,3195,0
454,37496,29241,0
455,64149,64571,0
456,37496,8488,0
457,45301,48368,0
458,63129,8218,0
459,31069,16707,0
460,43372,14286,0
461,3127,8218,0
462,66623,34574,0
463,55164,25018,0
464,44991,49992,0
465,43372,15670,0
466,31069,7516,0
467,50863,12541,0
468,50436,64598,0
469,43372,19744,0
470,11153,10559,0
471,3127,60226,0
472,61336,25176,0
473,59444,34763,0
474,37496,18423,0
475,59444,28601,0
476,3127,35941,0
477,48777,57582,0
478,22068,10559,0
479,63129,46117,0
480,1667,34610,0
481,44991,63336,0
482,37496,63715,0
483,64149,60583,0
484,64642,6651,0
485,25026,5396,0
486,4928,54894,0
487,28016,9788,0
488,64642,32254,0
489,3127,30212,0
490,22068,53038,0
491,10506,29241,0
492,200,19630,0
493,44112,34763,0
494,10506,25943,0
495,22068,22484,0
496,45301,46605,0
497,4928,41608,0
498,54370,55403,0
499,59444,64132,0
500,43372,34610,0
501,37496,25943,0
502,11153,12583,0
503,66623,53186,0
504,13213,53233,0
505,31069,58642,0
506,44991,7427,0
507,54370,56727,0
508,59444,63599,0
509,31069,54199,0
510,44991,6056,0
511,13565,64304,0
512,54370,11010,0
513,1667,61681,0
514,55164,35575,0
515,44991,12583,0
516,22068,8766,0
517,50436,59432,0
518,13213,6651,0
519,66282,14909,0
520,61336,65813,0
521,33293,65813,0
522,30861,19319,0
523,63129,65679,0
524,4928,52077,0
525,31069,19860,0
526,55164,7516,0
527,44112,35941,0
528,20066,1773,0
529,64149,54235,0
530,1667,35142,0
531,64642,59489,0
532,54370,31268,0
533,40873,5846,0
534,59444,4251,0
535,64149,61356,0
536,654,8480,0
537,64642,56416,0
538,64149,51285,0
539,4928,56106,0
540,50863,55203,0
541,13213,49054,0
542,43372,59219,0
543,28016,59584,0
544,34347,25341,0
545,7877,6454,0
546,59444,5846,0
547,45301,64598,0
548,55164,19514,0
549,66623,5427,0
550,66623,13641,0
551,48777,30654,0
552,7877,59584,0
553,30861,39335,0
554,25026,32631,0
555,7877,27509,0
556,44112,7051,0
557,66623,51153,0
558,12403,41608,0
559,45301,5508,0
560,10506,60987,0
561,13565,59219,0
562,43621,1743,0
563,31069,34740,0
564,13565,42514,0
565,1667,45720,0
566,63129,59584,0
567,25026,37477,0
568,22068,14909,0
569,55164,148,0
570,54370,55203,0
571,59444,23039,0
572,48777,29322,0
573,7877,18341,0
574,7877,59577,0
575,54370,29322,0
576,9724,50024,0
577,200,15528,0
578,66623,45273,0
579,30861,878,0
580,44991,18341,0
581,64149,33701,0
582,45301,23832,0
583,28016,25341,0
584,61336,3530,0
585,22068,12223,0
586,28016,3157,0
587,55164,54366,0
588,61336,55403,0
589,48777,9788,0
590,654,39272,0
591,7877,53656,0
592,11153,27202,0
593,3127,29422,0
594,11153,27509,0
595,45301,34048,0
596,31069,33211,0
597,7877,25943,0
598,55164,18765,0
599,31069,40449,0
600,7877,58642,0
601,43372,24627,0
602,64642,10559,0
603,654,7506,0
604,55164,63599,0
605,31069,3195,0
606,13213,6993,0
607,12403,15547,0
608,44112,26788,0
609,13213,41105,0
610,54370,43707,0
611,4928,4589,0
612,13213,65813,0
613,13213,5846,0
614,50436,57454,0
615,12403,56210,0
616,7877,9949,0
617,22068,65813,0
618,37496,27509,0
619,40873,34574,0
620,63129,44108,0
621,48777,54366,0
622,45301,9949,0
623,13213,54199,0
624,34347,37392,0
625,31069,54894,0
626,37496,61681,0
627,13213,12223,0
628,43372,11010,0
629,25026,5846,0
630,9724,57617,0
631,22068,55403,0
632,66282,55403,0
633,13565,5135,0
634,37496,1773,0
635,31069,13682,0
636,66623,12991,0
637,66623,57221,0
638,37496,41916,0
639,20066,35941,0
640,20066,33701,0
641,59444,57280,0
642,12403,41105,0
643,45301,51508,0
644,50436,6432,0
645,50863,27509,0
646,61336,20153,0
647,50436,51508,0
648,61336,29598,0
649,33293,53233,0
650,34347,19630,0
651,50863,6993,0
652,22068,45273,0
653,43372,9949,0
654,12403,20724,0
655,11153,25176,0
656,11153,35941,0
657,59444,179,0
658,50436,18341,0
659,28016,45273,0
660,59444,56210,0
661,1667,46605,0
662,13213,19458,0
663,66282,12223,0
664,59444,9670,0
665,13565,40800,0
666,43372,37392,0
667,54370,32087,0
668,44991,39226,0
669,37496,57696,0
670,50436,6056,0
671,13213,23314,0
672,13565,32921,0
673,7877,65885,0
674,59444,57696,0
675,200,56210,0
676,55164,45746,0
677,9724,8766,0
678,34347,35937,0
679,22068,25804,0
680,48777,45746,0
681,1667,5135,0
682,22068,54199,0
683,13565,58642,0
684,40873,1823,0
685,43372,60987,0
686,28016,56210,0
687,44112,25020,0
688,10506,25804,0
689,3127,51508,0
690,55164,6056,0
691,25026,54894,0
692,12403,926,0
693,22068,55203,0
694,50863,48011,0
695,43372,1743,0
696,50863,65819,0
697,44112,54098,0
698,9724,20492,0
699,64642,12374,0
700,13565,57454,0
701,54370,25376,0
702,55164,34758,0
703,10506,50024,0
704,9724,42514,0
705,31069,41953,0
706,200,57545,0
707,63129,35590,0
708,64642,56808,0
709,654,64304,0
710,10506,10559,0
711,13565,33790,0
712,66623,51285,0
713,43372,12824,0
714,4928,46268,0
715,61336,12374,0
716,33293,20358,0
717,654,6454,0
718,3127,10691,0
719,28016,29598,0
720,33293,52770,0
721,50863,57696,0
722,31069,63471,0
723,30861,25804,0
724,3127,46252,0
725,61336,19172,0
726,200,44316,0
727,59444,35142,0
728,44112,37477,0
729,1667,4739,0
730,12403,3669,0
731,11153,35933,0
732,9724,35933,0
733,43372,32631,0
734,50863,23544,0
735,66623,43707,0
736,43372,62073,0
737,25026,14286,0
738,64642,54235,0
739,654,30566,0
740,9724,53038,0
741,45301,37392,0
742,43372,179,0
743,9724,38632,0
744,54370,4589,0
745,48777,51508,0
746,31069,63599,0
747,66282,14120,0
748,61336,45317,0
749,43372,14909,0
750,11153,23832,0
751,13213,4707,0
752,64642,45697,0
753,45301,47880,0
754,200,42514,0
755,40873,64132,0
756,28016,47235,0
757,1667,3157,0
758,55164,50024,0
759,4928,30750,0
760,654,62257,0
761,9724,46117,0
762,33293,23314,0
763,30861,54366,0
764,1667,32606,0
765,30861,16707,0
766,40873,16122,0
767,34347,179,0
768,37496,10691,0
769,654,20724,0
770,64642,53155,0
771,9724,39272,0
772,64149,37392,0
773,13565,14909,0
774,28016,7051,0
775,13213,15620,0
776,1667,41105,0
777,66623,25176,0
778,37496,33211,0
779,25026,19172,0
780,50436,20754,0
781,200,64304,0
782,25026,19514,0
783,200,20627,0
784,12403,50024,0
785,45301,55203,0
786,13213,61523,0
787,40873,5135,0
788,66623,35933,0
789,13213,63715,0
790,1667,44316,0
791,10506,56575,0
792,66623,30212,0
793,12403,10873,0
794,64149,10276,0
795,4928,57280,0
796,25026,50024,0
797,20066,26565,0
798,11153,42514,0
799,31069,1049,0
800,61336,19458,0
801,50863,4707,0
802,44112,52077,0
803,13565,62257,0
804,63129,20627,0
805,10506,47235,0
806,64642,6432,0
807,12403,46716,0
808,31069,23832,0
809,7877,12991,0
810,200,41105,0
811,4928,57617,0
812,34347,38545,0
813,654,55403,0
814,13565,65885,0
815,34347,7093,0
816,13213,42514,0
817,22068,1049,0
818,66282,28933,0
819,3127,3530,0
820,1667,15547,0
821,64642,31584,0
822,9724,10565,0
823,50436,28933,0
824,66623,49992,0
825,13213,9670,0
826,3127,32606,0
827,31069,60601,0
828,66282,3157,0
829,43621,65819,0
830,48777,29807,0
831,200,63599,0
832,63129,9788,0
833,34347,30970,0
834,66282,60987,0
835,22068,27509,0
836,54370,51508,0
837,3127,10565,0
838,654,60987,0
839,64149,54366,0
840,44991,56808,0
841,11153,3669,0
842,28016,20492,0
843,31069,55403,0
844,4928,46605,0
845,7877,8218,0
846,10506,9788,0
847,45301,35937,0
848,7877,51493,0
849,11153,29281,0
850,13213,33201,0
851,43372,33211,0
852,40873,40832,0
853,59444,53038,0
854,50863,60987,0
855,9724,4589,0
856,48777,54932,0
857,30861,5718,0
858,66282,16341,0
859,44991,52416,0
860,10506,43707,0
861,22068,34574,0
862,64149,8218,0
863,9724,7427,0
864,12403,64598,0
865,4928,27509,0
866,66623,57617,0
867,9724,32087,0
868,13565,19458,0
869,34347,14286,0
870,33293,25020,0
871,61336,20754,0
872,43372,926,0
873,22068,20754,0
874,34347,5396,0
875,61336,28944,0
876,13565,32044,0
877,11153,65017,0
878,20066,1049,0
879,33293,9949,0
880,22068,179,0
881,43372,40800,0
882,40873,8113,0
883,44991,56416,0
884,45301,59219,0
885,31069,26995,0
886,9724,25943,0
887,25026,30566,0
888,44991,20358,0
889,200,32631,0
890,654,61681,0
891,55164,18341,0
892,22068,20153,0
893,64642,53920,0
894,25026,60601,0
895,25026,44316,0
896,31069,60226,0
897,64642,4251,0
