,type,name,id
82,Metabolite,HMDB0090528,82
83,Metabolite,HMDB0087356,83
84,Gene,11666,84
85,Gene,91369,85
86,Gene,21947,86
87,Metabolite,"Keratan Sulfate I, Degradation Product 9",87
88,Metabolite,HMDB0005821,88
89,Gene,64418,89
90,Gene,4282,90
91,Gene,57634,91
92,Microbe,TAXONOMY:1091278,92
93,Gene,851614,93
94,Gene,4286,94
95,Metabolite,HMDB0008115,95
96,Metabolite,HMDB0086903,96
97,Metabolite,HMDB0078399,97
98,Compound,DB00768,98
99,Metabolite,HMDB0091860,99
100,Compound,DB11091,100
101,Gene,54659,101
102,Metabolite,HMDB0092323,102
103,Disease,MESH:D001478,103
104,Disease,3-Methylglutaconic Aciduria type IX,104
105,Compound,DB13067,105
106,Gene,9551,106
107,Metabolite,HMDB0090809,107
108,Metabolite,HMDB0082923,108
109,Gene,515,109
110,Microbe,TAXONOMY:1035839,110
111,Microbe,TAXONOMY:1812550,111
112,Gene,287750,112
113,Metabolite,HMDB0073417,113
114,Disease,Adenosine deaminase deficiency,114
115,Disease,Prepartum depression,115
116,Compound,DB11920,116
117,Gene,3059,117
118,Metabolite,HMDB0089062,118
119,Compound,DB13882,119
120,Compound,DB11586,120
121,Compound,MESH:C530108,121
122,Compound,DB08868,122
123,Gene,81533,123
124,Compound,MESH:C058219,124
125,Disease,MESH:D060467,125
126,Compound,DB06342,126
127,Metabolite,HMDB0084920,127
128,Gene,116996,128
129,Metabolite,HMDB0006215,129
130,Compound,DB00959,130
131,Gene,3891,131
132,Gene,8013,132
133,Microbe,TAXONOMY:119484,133
134,Metabolite,HMDB0090745,134
135,Metabolite,HMDB0089170,135
136,Compound,MESH:C025026,136
137,Metabolite,HMDB0011756,137
138,Metabolite,HMDB0087030,138
139,Metabolite,HMDB0092403,139
140,Metabolite,HMDB0079164,140
141,Compound,CHEBI:58968,141
142,Compound,MESH:C543998,142
143,Microbe,TAXONOMY:37734,143
144,Disease,MESH:D012893,144
145,Metabolite,HMDB0092536,145
146,Metabolite,HMDB0073726,146
147,Metabolite,HMDB0076403,147
148,Microbe,TAXONOMY:75984,148
149,Gene,22668,149
150,Gene,58492,150
151,Disease,MESH:D008545,151
152,Compound,MESH:C549312,152
153,Disease,MESH:D001264,153
154,Compound,MESH:C120234,154
155,Disease,MESH:D010911,155
156,Metabolite,HMDB0091006,156
157,Microbe,TAXONOMY:5506,157
158,Compound,MESH:C046215,158
159,Gene,55315,159
160,Metabolite,HMDB0073117,160
161,Gene,25512,161
162,Microbe,TAXONOMY:1229756,162
163,Compound,DB04599,163
164,Gene,83608,164
165,Gene,11870,165
166,Gene,5196,166
167,Disease,MESH:C538138,167
168,Microbe,Prevotella albensis DSM 11370 ,168
169,Metabolite,HMDB0074567,169
170,Metabolite,HMDB0077340,170
171,Gene,100132417,171
172,Gene,386583,172
173,Gene,129025,173
174,Metabolite,HMDB0077826,174
175,Gene,24778,175
176,Metabolite,HMDB0080358,176
177,Metabolite,HMDB0090158,177
178,Metabolite,HMDB0092572,178
179,Microbe,TAXONOMY:133925,179
180,Metabolite,HMDB0081870,180
181,Compound,DB09236,181
182,Gene,91543,182
183,Gene,100422909,183
184,Microbe,Eubacterium eligens CAG:72,184
185,Gene,29811,185
186,Metabolite,HMDB0087721,186
187,Metabolite,HMDB0004879,187
188,Compound,DB00889,188
189,Gene,14632,189
190,Gene,12519;12524,190
191,Microbe,TAXONOMY:215530,191
192,Metabolite,HMDB0080955,192
193,Disease,MESH:D065666,193
194,Gene,20309,194
195,Gene,4647,195
196,Gene,693223,196
197,Gene,81780,197
198,Anatomy,UBERON:0001594,198
199,Gene,10440,199
200,Disease,New-onset untreated rheumatoid arthrits,200
201,Gene,3021,201
202,Metabolite,HMDB0076407,202
203,Disease,MESH:D013971,203
204,Compound,DB13084,204
205,Gene,702877,205
206,Disease,MESH:C563268,206
207,Gene,114044,207
208,Metabolite,HMDB0079563,208
209,Compound,MESH:C086539,209
210,Metabolite,HMDB0085482,210
211,Gene,579,211
212,Metabolite,HMDB0087824,212
213,Compound,DB13124,213
214,Compound,MESH:D015058,214
215,Metabolite,HMDB0075375,215
216,Compound,DB14488,216
217,Gene,64859,217
218,Symptom,D014826,218
219,Gene,1006,219
220,Compound,MESH:D012500,220
221,Gene,117178,221
222,Metabolite,HMDB0077430,222
223,Gene,54566,223
224,Gene,2582,224
225,Metabolite,HMDB0092823,225
226,Metabolite,HMDB0036323,226
227,Gene,22868,227
228,Gene,27165,228
229,Gene,14917,229
230,Compound,DB00851,230
231,Metabolite,HMDB0079874,231
232,Metabolite,HMDB0085520,232
233,Metabolite,HMDB0085890,233
234,Metabolite,HMDB0092866,234
235,Disease,MESH:D009358,235
236,Gene,84522,236
237,Gene,1577,237
238,Anatomy,UBERON:0000011,238
239,Compound,MESH:C048980,239
240,Microbe,TAXONOMY:33069,240
241,Metabolite,HMDB0088222,241
242,Metabolite,HMDB0087590,242
243,Metabolite,HMDB0075858,243
244,Metabolite,HMDB0087720,244
245,Metabolite,HMDB0090093,245
246,Disease,MESH:D004775,246
247,Metabolite,HMDB0086185,247
248,Compound,MESH:D064704,248
249,Metabolite,HMDB0089673,249
250,Gene,1004,250
251,Gene,26207,251
252,Gene,9046;1796,252
253,Microbe,TAXONOMY:1112856,253
254,Gene,5361,254
255,Metabolite,HMDB0084833,255
256,Gene,256957,256
257,Compound,DB08867,257
258,Gene,79451,258
259,Compound,MESH:C074761,259
260,Metabolite,HMDB0085994,260
261,Metabolite,HMDB0080711,261
262,Gene,8448,262
263,Gene,16181,263
264,Microbe,TAXONOMY:457830,264
265,Gene,1009,265
266,Metabolite,HMDB0079138,266
267,Metabolite,HMDB0074482,267
268,Compound,MESH:C032727,268
269,Compound,MESH:C576639,269
270,Metabolite,HMDB0084229,270
271,Disease,MESH:D013577,271
272,Metabolite,HMDB0073021,272
273,Metabolite,HMDB0075585,273
274,Metabolite,HMDB0032055,274
275,Metabolite,HMDB0081428,275
276,Compound,MESH:C054889,276
277,Gene,157869,277
278,Compound,DB12519,278
279,Metabolite,HMDB0077713,279
280,Metabolite,HMDB0075472,280
281,Compound,MESH:D011220,281
282,Metabolite,HMDB0008129,282
283,Disease,MESH:C536657,283
284,Compound,DB11447,284
285,Gene,64566,285
286,Microbe,TAXONOMY:413939,286
287,Gene,653192,287
288,Gene,14257,288
289,Gene,14186,289
290,Gene,102657,290
291,Gene,5607,291
292,Gene,11146,292
293,Gene,6998,293
294,Gene,57721,294
295,Metabolite,HMDB0087250,295
296,Compound,DB13530,296
297,Gene,55331,297
298,Gene,92856,298
299,Gene,201562,299
300,Compound,MESH:C039158,300
301,Compound,DB06764,301
302,Compound,DB12996,302
303,Gene,51213,303
304,Gene,58936,304
305,Compound,DB00342,305
306,Metabolite,HMDB0077314,306
307,Compound,DB02412,307
308,Compound,MESH:C480543,308
309,Metabolite,HMDB0088782,309
310,Metabolite,HMDB0075240,310
311,Metabolite,HMDB0001368,311
312,Metabolite,HMDB0073082,312
313,Gene,7097,313
314,Gene,3839,314
315,Compound,DB11816,315
316,Gene,79883,316
317,Metabolite,HMDB0076241,317
318,Microbe,TAXONOMY:351745,318
319,Metabolite,HMDB0076666,319
320,Disease,Dimethylglycine Dehydrogenase Deficiency,320
321,Gene,9686,321
322,Metabolite,HMDB0075264,322
323,Gene,8874,323
324,Gene,25941,324
325,Gene,69675,325
326,Gene,74568,326
327,Gene,344752,327
328,Gene,375757,328
329,Disease,MESH:D016781,329
330,Microbe,TAXONOMY:2051,330
331,Disease,MESH:C538647,331
332,Metabolite,HMDB0074553,332
333,Gene,8329,333
334,Disease,MESH:D013920,334
335,Gene,85416,335
336,Gene,4794,336
337,Gene,56044,337
338,Gene,23048,338
339,Disease,MESH:D066253,339
340,Gene,281530,340
341,Microbe,TAXONOMY:2585630,341
342,Metabolite,HMDB0003269,342
343,Gene,135656,343
344,Gene,51176,344
345,Metabolite,HMDB0075344,345
346,Gene,11980,346
347,Gene,378,347
348,Metabolite,HMDB0076109,348
349,Metabolite,HMDB0082181,349
350,Gene,3020,350
351,Compound,DB04849,351
352,Gene,115265,352
353,Gene,387141,353
354,Compound,MESH:C035316,354
355,Gene,283093,355
356,Gene,18736,356
357,Symptom,D059226,357
358,Metabolite,HMDB0091275,358
359,Compound,DB01410,359
360,Compound,MESH:C000294,360
361,Metabolite,HMDB0090888,361
362,Disease,MESH:D011906,362
363,Gene,245000,363
364,Gene,4821,364
365,Metabolite,HMDB0086873,365
366,Metabolite,HMDB0081420,366
367,Gene,100327267,367
368,Metabolite,HMDB0074240,368
369,Metabolite,HMDB0076252,369
370,Gene,57045,370
371,Metabolite,HMDB0091119,371
372,Compound,MESH:C518545,372
373,Gene,100422841,373
374,Compound,MESH:D011727,374
375,Gene,22163,375
376,Gene,383,376
377,Metabolite,HMDB0081863,377
378,Gene,4929,378
379,Gene,51789,379
380,Gene,79671,380
381,Compound,MESH:C026189,381
382,Gene,108686,382
383,Compound,DB06543,383
384,Gene,149111,384
385,Gene,280287,385
386,Compound,DB03695,386
387,Metabolite,HMDB0002303,387
388,Gene,22030,388
389,Gene,12166,389
390,Disease,DOID:14004,390
391,Microbe,TAXONOMY:1824856,391
392,Gene,293152,392
393,Metabolite,HMDB0079849,393
394,Compound,DB11841,394
395,Metabolite,HMDB0001448,395
396,Gene,10695,396
397,Microbe,TAXONOMY:96,397
398,Gene,1628,398
399,Gene,6005,399
400,Disease,MESH:C565310,400
401,Metabolite,HMDB0074948,401
402,Disease,MESH:D020189,402
403,Gene,55101,403
404,Metabolite,HMDB0077577,404
405,Gene,285231,405
406,Metabolite,HMDB0077310,406
407,Metabolite,HMDB0036219,407
408,Disease,MESH:D020159,408
409,Compound,MESH:C007229,409
410,Compound,MESH:C500894,410
411,Compound,DB01262,411
412,Disease,MESH:D018382,412
413,Metabolite,HMDB0088107,413
414,Gene,170643,414
415,Microbe,Prevotella intermedia ATCC 25611 = DSM 20706 ,415
416,Metabolite,HMDB0088654,416
417,Microbe,TAXONOMY:177412,417
418,Metabolite,HMDB0083831,418
419,Disease,MESH:D009078,419
420,Metabolite,HMDB0082602,420
421,Metabolite,HMDB0077574,421
422,Metabolite,HMDB0083543,422
423,Microbe,TAXONOMY:2092,423
424,Compound,MESH:C064970,424
425,Disease,MESH:D010304,425
426,Gene,5705,426
427,Metabolite,HMDB0076812,427
428,Microbe,TAXONOMY:1812539,428
429,Metabolite,HMDB0083368,429
430,Metabolite,HMDB0035833,430
431,Microbe,TAXONOMY:724,431
432,Gene,105243,432
433,Metabolite,HMDB0091587,433
434,Metabolite,HMDB0083945,434
435,Metabolite,HMDB0086505,435
436,Metabolite,HMDB0073688,436
437,Metabolite,HMDB0081739,437
438,Gene,6659,438
439,Gene,55811,439
440,Compound,CHEBI:33022,440
441,Compound,DB11367,441
442,Compound,MESH:C072506,442
443,Metabolite,HMDB0078676,443
444,Metabolite,HMDB0032985,444
445,Gene,9693,445
446,Metabolite,HMDB0083419,446
447,Compound,DB01176,447
448,Metabolite,HMDB0074983,448
449,Compound,MESH:D004880,449
450,Metabolite,HMDB0091806,450
451,Microbe,TAXONOMY:158506,451
452,Gene,692205,452
453,Microbe,TAXONOMY:291828,453
454,Metabolite,HMDB0031207,454
455,Microbe,TAXONOMY:335928,455
456,Compound,MESH:C079415,456
457,Gene,1605,457
458,Microbe,TAXONOMY:692525,458
459,Compound,MESH:C065180,459
460,Metabolite,HMDB0077733,460
461,Metabolite,HMDB0079156,461
462,Symptom,D004433,462
463,Microbe,TAXONOMY:29430,463
464,Metabolite,HMDB0074507,464
465,Compound,MESH:C010086,465
466,Gene,397239,466
467,Metabolite,HMDB0086159,467
468,Metabolite,HMDB0088394,468
469,Gene,100689191,469
470,Metabolite,HMDB0081974,470
471,Metabolite,HMDB0078656,471
472,Metabolite,HMDB0083236,472
473,Gene,100515679,473
474,Gene,9878,474
475,Compound,DB14066,475
476,Microbe,TAXONOMY:76892,476
477,Gene,129787,477
478,Metabolite,"8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine",478
479,Gene,6023,479
480,Metabolite,HMDB0085144,480
481,Metabolite,HMDB0084382,481
482,Metabolite,"Chondroitin Sulfate E (GalNac4,6Dis-Glca), Degradation Product 4",482
483,Metabolite,HMDB0079708,483
484,Gene,18505,484
485,Gene,25303,485
486,Metabolite,HMDB0079506,486
487,Compound,MESH:C010902,487
488,Gene,401427,488
489,Gene,100009270,489
490,Metabolite,HMDB0090645,490
491,Metabolite,HMDB0085669,491
492,Metabolite,HMDB0079956,492
493,Metabolite,HMDB0079007,493
494,Gene,114493,494
495,Microbe,TAXONOMY:396388,495
496,Metabolite,HMDB0074426,496
497,Disease,MESH:D014141,497
498,Gene,55279,498
499,Metabolite,HMDB0092280,499
500,Metabolite,HMDB0074761,500
501,Gene,8718,501
502,Compound,MESH:C026116,502
503,Gene,28508,503
504,Metabolite,HMDB0078222,504
505,Disease,MESH:D052245,505
506,Gene,26227,506
507,Metabolite,HMDB0077496,507
508,Metabolite,HMDB0089829,508
509,Gene,80204,509
510,Compound,DB01421,510
511,Disease,MESH:D015593,511
512,Metabolite,HMDB0073941,512
513,Microbe,TAXONOMY:121611,513
514,Compound,MESH:C039923,514
515,Gene,4131,515
516,Metabolite,HMDB0076735,516
517,Gene,10130,517
518,Compound,MESH:C097591,518
519,Metabolite,HMDB0086190,519
520,Compound,DB13039,520
521,Metabolite,HMDB0089393,521
522,Gene,791122,522
523,Metabolite,HMDB0085614,523
524,Gene,7049,524
525,Metabolite,HMDB0087825,525
526,Metabolite,HMDB0078699,526
527,Compound,DB09279,527
528,Gene,25699,528
529,Gene,4201,529
530,Gene,401253,530
531,Compound,CHEBI:39282,531
532,Gene,7694,532
533,Disease,MESH:D011146,533
534,Disease,MESH:C536591,534
535,Gene,11343,535
536,Metabolite,HMDB0086180,536
537,Disease,Very Long Chain Acyl-CoA Dehydrogenase Deficiency,537
538,Metabolite,HMDB0082776,538
539,Metabolite,HMDB0076380,539
540,Gene,54455,540
541,Microbe,TAXONOMY:293089,541
542,Gene,12927,542
543,Metabolite,HMDB0078333,543
544,Gene,29708,544
545,Metabolite,HMDB0091227,545
546,Metabolite,HMDB0078043,546
547,Metabolite,HMDB0083227,547
548,Metabolite,HMDB0085228,548
549,Metabolite,HMDB0089614,549
550,Metabolite,HMDB0001488,550
551,Gene,160851,551
552,Gene,12512,552
553,Microbe,TAXONOMY:1121090,553
554,Metabolite,HMDB0006318,554
555,Metabolite,HMDB0090554,555
556,Metabolite,HMDB0002432,556
557,Compound,CHEBI:29785,557
558,Microbe,TAXONOMY:745368,558
559,Gene,6045,559
560,Compound,DB01069,560
561,Gene,30012,561
562,Disease,MESH:C562399,562
563,Compound,MESH:C543146,563
564,Gene,114479,564
565,Gene,10903,565
566,Gene,23627,566
567,Metabolite,HMDB0073900,567
568,Metabolite,HMDB0061918,568
569,Gene,387163,569
570,Metabolite,HMDB0091605,570
571,Metabolite,HMDB0092508,571
572,Gene,55922,572
573,Microbe,TAXONOMY:1117,573
574,Metabolite,HMDB0092473,574
575,Disease,Dopamine Beta-Hydroxylase Deficiency,575
576,Gene,100736552,576
577,Gene,9055,577
578,Gene,51510,578
579,Disease,MESH:D007246,579
580,Gene,6395,580
581,Gene,55527,581
582,Disease,MESH:C535508,582
583,Gene,56271,583
584,Microbe,TAXONOMY:1283923,584
585,Gene,5151,585
586,Disease,MESH:D050197,586
587,Gene,54733,587
588,Gene,387174,588
589,Metabolite,HMDB0085088,589
590,Metabolite,HMDB0080769,590
591,Gene,100381270,591
592,Metabolite,HMDB0076788,592
593,Gene,55748,593
594,Compound,DB01764,594
595,Microbe,TAXONOMY:88132,595
596,Microbe,TAXONOMY:742743,596
597,Metabolite,HMDB0077834,597
598,Metabolite,HMDB0003419,598
599,Gene,65079,599
600,Metabolite,HMDB0090183,600
601,Gene,24387,601
602,Disease,MESH:D016084,602
603,Metabolite,HMDB0079534,603
604,Metabolite,HMDB0059741,604
605,Gene,141,605
606,Compound,MESH:C075569,606
607,Microbe,TAXONOMY:76631,607
608,Compound,DB06196,608
609,Gene,25589,609
610,Microbe,TAXONOMY:1736,610
611,Division,TAXONOMY:91347,611
612,Metabolite,HMDB0078446,612
613,Disease,MESH:D014126,613
614,Gene,64094,614
615,Metabolite,HMDB0090556,615
616,Metabolite,HMDB0080729,616
617,Metabolite,HMDB0078582,617
618,Metabolite,HMDB0076294,618
619,Metabolite,HMDB0092586,619
620,Gene,503569,620
621,Gene,84900,621
622,Gene,165055,622
623,Microbe,Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,623
624,Anatomy,UBERON:0001467,624
625,Gene,51429,625
626,Disease,MESH:C535815,626
627,Metabolite,HMDB0089596,627
628,Metabolite,HMDB0075677,628
629,Metabolite,HMDB0003955,629
630,Compound,MESH:D015762,630
631,Metabolite,HMDB0077100,631
632,Metabolite,HMDB0081381,632
633,Metabolite,HMDB0011307,633
634,Gene,126321,634
635,Metabolite,HMDB0073632,635
636,Division,TAXONOMY:28890,636
637,Metabolite,HMDB0084294,637
638,Metabolite,HMDB0073943,638
639,Compound,DB09303,639
640,Compound,MESH:C061164,640
641,Compound,MESH:C034534,641
642,Gene,84457,642
643,Microbe,TAXONOMY:135577,643
644,Gene,23139,644
645,Metabolite,Gq1Balpha,645
646,Gene,11095,646
647,Metabolite,HMDB0086755,647
648,Metabolite,HMDB0082308,648
649,Disease,MESH:D012594,649
650,Gene,4289,650
651,Metabolite,HMDB0085989,651
652,Gene,27180,652
653,Gene,8742,653
654,Disease,MESH:D020345,654
655,Compound,MESH:D013793,655
656,Gene,51317,656
657,Gene,13117,657
658,Compound,MESH:C008110,658
659,Compound,DB13042,659
660,Metabolite,HMDB0086856,660
661,Metabolite,HMDB0082677,661
662,Compound,MESH:C107676,662
663,Gene,11689,663
664,Gene,15251,664
665,Metabolite,HMDB0076544,665
666,Gene,10667,666
667,Metabolite,HMDB0084934,667
668,Metabolite,HMDB0001129,668
669,Gene,1144,669
670,Microbe,Bacillus amyloliquefaciens DSM7,670
671,Disease,MESH:D015043,671
672,Gene,4908,672
673,Gene,50721,673
674,Gene,23070,674
675,Metabolite,HMDB0088587,675
676,Compound,DB12058,676
677,Gene,7490,677
678,Metabolite,HMDB0078913,678
679,Metabolite,HMDB0086728,679
680,Gene,131118,680
681,Disease,MESH:D023981,681
682,Compound,MESH:C439285,682
683,Gene,29079,683
684,Microbe,TAXONOMY:525361,684
685,Metabolite,HMDB0088098,685
686,Metabolite,HMDB0074153,686
687,Metabolite,HMDB0080031,687
688,Metabolite,HMDB0079519,688
689,Compound,DB12948,689
690,Gene,201163,690
691,Microbe,TAXONOMY:537970,691
692,Gene,5185,692
693,Metabolite,HMDB0089563,693
694,Compound,MESH:D011687,694
695,Microbe,TAXONOMY:44654,695
696,Compound,DB11753,696
697,Compound,MESH:C079988,697
698,Gene,84904,698
699,Gene,9748,699
700,Symptom,D063806,700
701,Metabolite,HMDB0092204,701
702,Compound,MESH:D011692,702
703,Gene,21936,703
704,Gene,26999,704
705,Disease,MESH:C536914,705
706,Microbe,TAXONOMY:1203610,706
707,Metabolite,HMDB0085063,707
708,Gene,16905,708
709,Metabolite,HMDB0090146,709
710,Gene,12373,710
711,Gene,14919,711
712,Gene,23621,712
713,Gene,723905,713
714,Gene,7473,714
715,Gene,1629,715
716,Microbe,TAXONOMY:169977,716
717,Gene,58208,717
718,Metabolite,HMDB0087080,718
719,Microbe,TAXONOMY:5061,719
720,Metabolite,HMDB0086205,720
721,Gene,57467,721
722,Disease,MESH:C536030,722
723,Metabolite,HMDB0000577,723
724,Microbe,TAXONOMY:680,724
725,Compound,DB00642,725
726,Metabolite,HMDB0089460,726
727,Gene,2786,727
728,Gene,80762,728
729,Microbe,TAXONOMY:2717,729
730,Gene,3972,730
731,Metabolite,HMDB0074779,731
732,Gene,10866,732
733,Microbe,TAXONOMY:1656261,733
734,Disease,MESH:D010013,734
735,Gene,18747,735
736,Disease,MESH:D007829,736
737,Metabolite,HMDB0074542,737
738,Metabolite,HMDB0087957,738
739,Gene,105463121,739
740,Disease,3-Hydroxyacyl-CoA dehydrogenase deficiency,740
741,Metabolite,HMDB0080098,741
742,Disease,MESH:D008080,742
743,Gene,230784,743
744,Metabolite,HMDB0078033,744
745,Metabolite,HMDB0078206,745
746,Metabolite,HMDB0081509,746
747,Compound,CHEBI:15767,747
748,Metabolite,HMDB0089046,748
749,Gene,100302258,749
750,Metabolite,HMDB0011263,750
751,Metabolite,HMDB0088817,751
752,Microbe,TAXONOMY:211025,752
753,Gene,55072,753
754,Gene,5629,754
755,Gene,242100,755
756,Metabolite,HMDB0092748,756
757,Metabolite,HMDB0008192,757
758,Metabolite,HMDB0079421,758
759,Disease,MESH:D016582,759
760,Gene,5638,760
761,Metabolite,HMDB0075158,761
762,Compound,MESH:D011134,762
763,Metabolite,HMDB0092445,763
764,Gene,140683,764
765,Microbe,TAXONOMY:77922,765
766,Metabolite,HMDB0088331,766
767,Microbe,TAXONOMY:36421,767
768,Compound,DB00898,768
769,Compound,DB12257,769
770,Metabolite,HMDB0077173,770
771,Gene,56324,771
772,Compound,MESH:C002659,772
773,Microbe,TAXONOMY:415605,773
774,Gene,23230,774
775,Disease,MESH:D007967,775
776,Metabolite,HMDB0089520,776
777,Microbe,TAXONOMY:70863,777
778,Compound,MESH:C090138,778
779,Gene,2956,779
780,Gene,10569,780
781,Metabolite,HMDB0089298,781
782,Compound,MESH:D034261,782
783,Metabolite,HMDB0062720,783
784,Gene,7159,784
785,Compound,DB02145,785
786,Compound,DB02594,786
787,Metabolite,HMDB0076738,787
788,Metabolite,HMDB0081481,788
789,Gene,100736473,789
790,Metabolite,HMDB0075643,790
791,Gene,14347,791
792,Disease,MESH:C564835,792
793,Gene,117579,793
794,Gene,668542,794
795,Metabolite,HMDB0092211,795
796,Compound,DB00979,796
797,Compound,MESH:C543412,797
798,Metabolite,HMDB0073854,798
799,Gene,7182,799
800,Gene,8655,800
801,Compound,DB09090,801
802,Disease,MESH:D049912,802
803,Disease,MESH:D007911,803
804,Metabolite,HMDB0084714,804
805,Gene,12447,805
806,Gene,5625,806
807,Metabolite,HMDB0091395,807
808,Gene,20568,808
809,Gene,220074,809
810,Gene,2703388,810
811,Gene,64225,811
812,Gene,7480,812
813,Microbe,TAXONOMY:667112,813
814,Microbe,TAXONOMY:28196,814
815,Gene,192119,815
816,Compound,DB00988,816
817,Gene,574456,817
818,Gene,18196,818
819,Gene,402569,819
820,Gene,342898,820
821,Compound,MESH:D015363,821
822,Compound,CHEBI:60833,822
823,Gene,84578,823
824,Metabolite,HMDB0086418,824
825,Microbe,TAXONOMY:158846,825
826,Disease,MESH:C566996,826
827,Metabolite,HMDB0088074,827
828,Metabolite,HMDB0001852,828
829,Disease,MESH:D005334,829
830,Metabolite,HMDB0075974,830
831,Compound,DB00596,831
832,Microbe,TAXONOMY:1123242,832
833,Metabolite,HMDB0000943,833
834,Compound,MESH:C021151,834
835,Compound,MESH:D011136,835
836,Disease,MESH:D008067,836
837,Disease,MESH:D020818,837
838,Gene,9368,838
839,Gene,36727,839
840,Metabolite,HMDB0076382,840
841,Disease,MESH:D020271,841
842,Gene,9181,842
843,Metabolite,HMDB0090792,843
844,Gene,3953,844
845,Compound,DB00238,845
846,Metabolite,HMDB0088821,846
847,Metabolite,HMDB0092304,847
848,Metabolite,HMDB0080797,848
849,Microbe,TAXONOMY:330214,849
850,Gene,232341,850
851,Metabolite,HMDB0076017,851
852,Metabolite,HMDB0074103,852
853,Compound,MESH:C044563,853
854,Compound,MESH:C078670,854
855,Metabolite,HMDB0075736,855
856,Compound,DB00258,856
857,Disease,D-Glyceric acidura,857
858,Gene,64383,858
859,Compound,DB13879,859
860,Gene,64806,860
861,Metabolite,HMDB0092598,861
862,Gene,375298,862
863,Microbe,TAXONOMY:114248,863
864,Microbe,TAXONOMY:1432051,864
865,Compound,MESH:C518129,865
866,Gene,1740,866
867,Gene,81553,867
868,Gene,10979,868
869,Compound,DB01113,869
870,Gene,20592,870
871,Gene,695,871
872,Microbe,TAXONOMY:349900,872
873,Gene,284654,873
874,Metabolite,HMDB0081419,874
875,Disease,Dermal fibroproliferative disorder,875
876,Metabolite,HMDB0077147,876
877,Metabolite,HMDB0082745,877
878,Microbe,TAXONOMY:815,878
879,Compound,MESH:C515085,879
880,Disease,MESH:D009105,880
881,Gene,28796,881
882,Gene,28910,882
883,Disease,MESH:C538361,883
884,Gene,123904,884
885,Disease,MESH:D020329,885
886,Gene,1012,886
887,Gene,115825,887
888,Microbe,TAXONOMY:5052,888
889,Gene,100128071,889
890,Metabolite,HMDB0089275,890
891,Gene,55031,891
892,Gene,51252,892
893,Metabolite,HMDB0083960,893
894,Metabolite,HMDB0086155,894
895,Gene,84034,895
896,Gene,7290,896
897,Gene,55192,897
898,Disease,MESH:C538287,898
899,Metabolite,HMDB0085137,899
900,Metabolite,HMDB0088914,900
901,Compound,DB01751,901
902,Compound,MESH:C533198,902
903,Metabolite,HMDB0075566,903
904,Gene,131076,904
905,Gene,84056,905
906,Metabolite,HMDB0072934,906
907,Metabolite,HMDB0008118,907
908,Gene,80726,908
909,Metabolite,HMDB0080978,909
910,Metabolite,HMDB0080319,910
911,Gene,238871,911
912,Microbe,TAXONOMY:1625,912
